ACTOR NAME,SOCRADAR RANK,ALIASES,SECTORS,TARGET COUNTRIES,TOTAL IOCS
Naikon,189,Billbug|Red Salamander|ITG06|Spring Dragon|Raspberry Typhoon|Bronze Elgin|Goblin Panda|Dragonfish|ATK 78|CTG-8171|Cycldek|Conimes|Override Panda|APT 30|RADIUM|Naikon|Lotus Panda|Bronze Geneva|Thrip|Hellsing|CTG-5326|Bronze Sterling|Lotus Blossom|1937CN|ATK 1,Energy & Utilities |Educational Services|Public Administration|Electrical&Electronical Manufacturing|Telecommunications|Space & Defense|National Security&International Affairs,China|Brunei|Indonesia|Malaysia|Myanmar|Taiwan|Philippines|Cambodia|Australia|Vietnam|Saudi Arabia|Laos|Hong Kong|India|South Korea|Nepal|Macao|Japan|Thailand|Bhutan|USA|Singapore|ASEAN,2130
GhostSec,124,GhostSecurity|Ghost Security,,,90
Rocke,102,AgedLibra|Aged Libra,,,1872
Raspberry Typhoon,374,RADIUM,,,0
UNC2565,310,Hive0127,,,0
DNSpionage,256,COBALTEDGEWATER|COBALT EDGEWATER|DNSpionage,Public Administration|Air Transportation|Telecommunications,UAE|Jordan|North Africa|Iraq|Libya|Egypt|Albania|USA|Sweden|Cyprus|Kuwait|Lebanon,35295
Water Curupira,588,,,,111
Equation Group,650,APT-C-39|G0020|EquationGroup|PLATINUM TERMINAL|Lamberts|PlatinumColony|theLamberts|Tilded Team|EQGRP|TildedTeam|Equation Group|Longhorn|the Lamberts|PLATINUMTERMINAL|Platinum Colony,Public Administration|Educational Services|Space & Defense|Energy & Utilities |National Security&International Affairs|Mining|Telecommunications|Transportation&Warehousing|Other,China|Kazakhstan|Russia|Nicaragua|Global|Yemen|Mexico|United Kingdom|Malaysia|Sweden|Germany|Hungary|Cyprus|Belgium|Philippines|Turkey|France|Switzerland|Kenya|Israel|Romania|Jordan|Mali|Chile|Botswana|Somalia|Saudi Arabia|Poland|Bolivia|Brazil|UAE|Palestine|Finland|Iran|Pakistan|Hong Kong|South Africa|Netherlands|UK|India|Italy|Greece|South Korea|Austria|Gabon|Venezuela|United Arab Emirates|Sudan|Algeria|Japan|Ecuador|Iraq|Nigeria|Qatar|Thailand|Bangladesh|Norway|Afghanistan|Libya|Egypt|USA|Singapore|Lebanon|Syria|Bosnia and Herzegovina|Spain,627
Dark Basin,735,,,,0
NetTraveler,634,Hammer Panda|TEMP.Zhenbao|APT 21|NetTraveler,Mining|Public Administration|National Security&International Affairs,China|Kazakhstan|Russia|Mongolia|Lithuania|Indonesia|Malaysia|Germany|Morocco|Slovenia|Belgium|Turkey|Uzbekistan|Tajikistan|Jordan|Cambodia|Australia|Kyrgyzstan|Suriname|Chile|Turkmenistan|Belarus|Iran|Pakistan|Hong Kong|UK|India|Greece|South Korea|Austria|Ukraine|Nepal|Japan|Qatar|Thailand|Bangladesh|Afghanistan|USA|Canada|Syria|Spain,1389
Cyber.Anarchy.Squad,119,CyberAnarchySquad|Cyber Anarchy Squad,,,0
Void Balaur,264,Void Balaur|Rockethack,,Russia|Kazakhstan|United Kingdom|Sweden|Germany|Taiwan|Belgium|Turkey|Armenia|France|Uzbekistan|Australia|New Zealand|Poland|Brazil|United States|Belarus|UAE|Central African Republic|Czech|Moldova|South Africa|Netherlands|UK|Portugal|India|Italy|Ukraine|Russian Federation|Sudan|Japan|Norway|Egypt|USA|Slovakia|Georgia|Canada|Spain,611
TA2719,234,,,,0
SparklingGoblin,197,,,,0
RedEcho,474,RedEcho,Energy & Utilities ,India,1
TheDarkOverlord,296,,,,0
Energetic Bear,42,Electrum|ATK 6|Dragonfly 2.0|Iron Lyric|TeamSpy Crew|Iron Liberty|ITG15|TG-4192|Ghost Blizzard|Dragonfly|SIG39|Crouching Yeti|Anger Bear|Dymalloy|Bromine|Berserk Bear|Team Bear|Koala Team|Group 24|Energetic Bear|Blue Kraken,Air Transportation|Manufacturing|Construction|Public Administration|Educational Services|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Mining|Other,Russia|Djibouti|Kazakhstan|Mongolia|China|Senegal|Chad|Indonesia|Sweden|Germany|Morocco|Costa Rica|Hungary|Belgium|Philippines|Turkey|France|Kenya|Romania|Switzerland|Mali|Australia|Tunisia|Vietnam|Saudi Arabia|Poland|Brazil|Iran|Benin|Croatia|Tanzania|Central-African Republic|South Africa|Netherlands|UK|Portugal|India|Italy|Ukraine|Gabon|Greece|Madagascar|Nepal|Azerbaijan|Algeria|Japan|Sudan|Thailand|Bangladesh|Bhutan|Mauritania|Egypt|Norway|USA|Slovakia|Serbia|Cote d'Ivoire|Cameroon|Georgia|Peru|Singapore|Congo|Canada|Spain,3362
Beijing Group,618,SneakyPanda|G0066|SNEAKYPANDA|SIG22|Elderwood|SneakyPanda|SNEAKYPANDA|ElderwoodGang|BeijingGroup|BeijingGroup|ElderwoodGang|Elderwood|SIG22|G0066,Other|Civic&Social Organizations,Denmark|United States|Australia|China|Taiwan|India|Hong Kong|Switzerland|United Kingdom|Canada,0
ZOMBIE SPIDER,232,,,,0
Hydrochasma,542,Hydrochasma,HealthCare & Social Assistance,Asia,0
BRONZE SPRING,122,UNC302,Construction|Educational Services|Energy & Utilities |Chemical&Pharmaceutical Manufacturing|National Security&International Affairs|Information Services|Other|HealthCare & Social Assistance|Arts & Entertainment,United States|Japan|Lithuania|Australia|United Kingdom|Sweden|Germany|Netherlands|Belgium|South Korea|Spain,0
Siesta,719,Siesta,Energy & Utilities |Transportation&Warehousing|Finance|HealthCare & Social Assistance|Public Administration|Telecommunications|National Security&International Affairs,,0
Tick,651,TEMP.Tick|Stalker Panda|Stalker Taurus|Tick|CTG-2006|Bronze Butler|RedBaldNight,Energy & Utilities |Manufacturing|Other|Public Administration|Electrical&Electronical Manufacturing|National Security&International Affairs,China|Russia|Japan|USA|Hong Kong|Taiwan|Singapore|South Korea,1362
